Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"How to write effective prompts for large language models","Effectively writing queries for large language models can maximize their utility in research.","Zhicheng Lin",2024,70,"Effectively engaging with large language models is becoming increasingly vital as they proliferate across research landscapes. This Comment presents a practical guide for understanding their capabilities and limitations, along with strategies for crafting well-structured queries, to extract maximum utility from these artificial intelligence tools.","","Nature Human Behaviour","1","10.1038/s41562-024-01847-2","https://consensus.app/papers/how-to-write-effective-prompts-for-large-language-models-lin/fbc32220bf90542294c6a939f25b0181/"
"What is the limitation of multimodal LLMs? A deeper look into multimodal LLMs through prompt probing","Multimodal language models (LLMs) currently struggle to understand prompts properly, relying more on training data distribution rather than the input content itself.","Shuhan Qi, Zhengying Cao, Jun Rao, Lei Wang, Jing Xiao, X. Wang",2023,50,"","","Inf. Process. Manag.","1","10.1016/j.ipm.2023.103510","https://consensus.app/papers/what-is-the-limitation-of-multimodal-llms-a-deeper-look-into-qi-cao/2ab849bf87b9596d83e9f6d8eb757c4e/"
"Multi-Modal Hallucination Control by Visual Information Grounding","Multi-Modal Mutual-Information Decoding (M3ID) reduces hallucinations in Vision-Language Models by amplifying the influence of the visual prompt, improving accuracy without requiring further training.","Alessandro Favero, L. Zancato, Matthew Trager, Siddharth Choudhary, Pramuditha Perera, A. Achille, Ashwin Swaminathan, S. Soatto",2024,148,"Generative Vision-Language Models (VLMs) are prone to generate plausible-sounding textual answers that, however, are not always grounded in the input image. We investigate this phenomenon, usually referred to as “hallucination” and show that it stems from an excessive reliance on the language prior. In particular, we show that as more tokens are generated, the reliance on the visual prompt decreases, and this behavior strongly correlates with the emergence of hallucinations. To reduce hallucinations, we introduce Multi-Modal Mutual-Information Decoding (M3ID), a new sampling method for prompt amplification. M3ID amplifies the influence of the reference image over the language prior, hence favoring the generation of tokens with higher mutual information with the visual prompt. M3ID can be applied to any pre-trained autoregressive VLM at inference time without necessitating further training and with minimal computational overhead. If training is an option, we show that M3ID can be paired with Direct Preference Optimization (DPO) to improve the model's reliance on the prompt image without requiring any labels. Our empirical findings show that our algorithms maintain the fluency and linguistic capabilities of pre-trained VLMs while reducing hallucinations by mitigating visually ungrounded answers. Specifically, for the LLaVA 13B model, M3ID and M3ID+DPO reduce the percentage of hallucinated objects in captioning tasks by 25% and 28%, respectively, and improve the accuracy on VQA benchmarks such as POPE by 21% and 24%.","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","10.1109/cvpr52733.2024.01356","https://consensus.app/papers/multimodal-hallucination-control-by-visual-information-favero-zancato/e9b53c303d7f5478b136be956565d204/"
"Evaluating large language models on multimodal chemistry olympiad exams","Current large language models struggle with multimodal chemistry reasoning, with Chain-of-Thought prompting improving accuracy and visual grounding.","Yiming Cui, Xin Yao, Yuxuan Qin, Xin Li, Shijin Wang, Guoping Hu",2025,0,"Multimodal scientific reasoning remains a significant challenge for large language models (LLMs), particularly in chemistry, where problem-solving relies on symbolic diagrams, molecular structures, and structured visual data. Here, we systematically evaluate 40 proprietary and open-source multimodal LLMs, including GPT-5, o3, Gemini-2.5-Pro, and Qwen2.5-VL, on a curated benchmark of Olympiad-style chemistry questions drawn from over two decades of U.S. National Chemistry Olympiad (USNCO) exams. These questions require integrated visual and textual reasoning across diverse modalities. We find that many models struggle with modality fusion, where, in some cases, removing the image even improves accuracy, indicating misalignment in vision-language integration. Chain-of-Thought prompting consistently enhances both accuracy and visual grounding, as demonstrated through ablation studies and occlusion-based interpretability. Our results reveal critical limitations in the scientific reasoning abilities of current MLLMs, providing actionable strategies for developing more robust and interpretable multimodal systems in chemistry. This work provides a timely benchmark for measuring progress in domain-specific multimodal AI and underscores the need for further advances at the intersection of artificial intelligence and scientific reasoning.","","Communications Chemistry","1","10.1038/s42004-025-01782-x","https://consensus.app/papers/evaluating-large-language-models-on-multimodal-chemistry-cui-yao/cbf05b45bb7e5809b5a4fbb1873dcb71/"
"LION : Empowering Multimodal Large Language Model with Dual-Level Visual Knowledge","The dual-level visual knowledge enhanced Multimodal Large Language Model (LION) improves multimodal signal understanding by incorporating fine-grained spatial-aware visual knowledge and soft prompting high-level semantic visual evidence.","Gongwei Chen, Leyang Shen, Rui Shao, Xiang Deng, Liqiang Nie",2023,81,"Multimodal Large Language Models (MLLMs) have endowed LLMs with the ability to perceive and understand multimodal signals. However, most of the existing MLLMs mainly adopt vision encoders pretrained on coarsely aligned image-text pairs, leading to insufficient extraction and reasoning of visual knowledge. To address this issue, we devise a dual-Level vIsual knOwledge eNhanced Multimodal Large Language Model (LION), which empowers the MLLM by injecting visual knowledge in two levels. 1) Progressive incorporation of fine-grained spatial-aware visual knowledge. We design a vision aggregator cooperated with region-level vision-language (VL) tasks to incorporate fine-grained spatial-aware visual knowledge into the MLLM. To alleviate the conflict between imagelevel and region-level VL tasks during incorporation, we devise a dedicated stage-wise instruction-tuning strategy with mixture-of-adapters. This progressive incorporation scheme contributes to the mutual promotion between these two kinds of VL tasks. 2) Soft prompting of high-level semantic visual evidence. We facilitate the MLLM with high-level semantic visual evidence by leveraging diverse image tags. To mitigate the potential influence caused by imper-fect predicted tags, we propose a soft prompting method by embedding a learnable token into the tailored text instruction. Comprehensive experiments on several multimodal benchmarks demonstrate the superiority of our model (e.g., improvement of 5% accuracy on VSR and 3% CIDEr on TextCaps over InstructBLIP, 5% accuracy on RefCOCOg over Kosmos-2).","","2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)","","10.1109/cvpr52733.2024.02506","https://consensus.app/papers/lion-empowering-multimodal-large-language-model-with-chen-shen/afc1a7e107125198b6295eaec7c6c182/"
"NPHardEval4V: A Dynamic Reasoning Benchmark of Multimodal Large Language Models","The dynamic benchmark NPHardEval4V reveals that Multimodal Large Language Models (MLLMs) perform weakly compared to Large Language Models (LLMs) in reasoning abilities, with different prompting styles impacting their performance.","Lizhou Fan, Wenyue Hua, Xiang Li, Kaijie Zhu, Mingyu Jin, Lingyao Li, Haoyang Ling, Jinkui Chi, Jindong Wang, Xin Ma, Yongfeng Zhang",2024,17,"Understanding the reasoning capabilities of Multimodal Large Language Models (MLLMs) is an important area of research. In this study, we introduce a dynamic benchmark, NPHardEval4V, aimed at addressing the existing gaps in evaluating the pure reasoning abilities of MLLMs. Our benchmark aims to provide a venue to disentangle the effect of various factors such as image recognition and instruction following, from the overall performance of the models, allowing us to focus solely on evaluating their reasoning abilities. It is built by converting textual description of questions from NPHardEval to image representations. Our findings reveal significant discrepancies in reasoning abilities across different models and highlight the relatively weak performance of MLLMs compared to LLMs in terms of reasoning. We also investigate the impact of different prompting styles, including visual, text, and combined visual and text prompts, on the reasoning abilities of MLLMs, demonstrating the different impacts of multimodal inputs in model performance. Unlike traditional benchmarks, which focus primarily on static evaluations, our benchmark will be updated monthly to prevent overfitting and ensure a more authentic and fine-grained evaluation of the models. We believe that this benchmark can aid in understanding and guide the further development of reasoning abilities in MLLMs. The benchmark dataset and code are available at https://github.com/lizhouf/NPHardEval4V","","ArXiv","","10.48550/arxiv.2403.01777","https://consensus.app/papers/nphardeval4v-a-dynamic-reasoning-benchmark-of-multimodal-fan-hua/e0f68e3703f650c4a7e4df0dfb90c87b/"
"Visual Prompting in Multimodal Large Language Models: A Survey","This paper provides a comprehensive survey on visual prompting methods in multimodal large language models, examining their effectiveness in fine-grained and free-form visual instructions.","Junda Wu, Zhehao Zhang, Yu Xia, Xintong Li, Zhaoyang Xia, Aaron Chang, Tong Yu, Sungchul Kim, Ryan A. Rossi, Ruiyi Zhang, Subrata Mitra, Dimitris N. Metaxas, Lina Yao, Jingbo Shang, Julian J. McAuley",2024,42,"Multimodal large language models (MLLMs) equip pre-trained large-language models (LLMs) with visual capabilities. While textual prompting in LLMs has been widely studied, visual prompting has emerged for more fine-grained and free-form visual instructions. This paper presents the first comprehensive survey on visual prompting methods in MLLMs, focusing on visual prompting, prompt generation, compositional reasoning, and prompt learning. We categorize existing visual prompts and discuss generative methods for automatic prompt annotations on the images. We also examine visual prompting methods that enable better alignment between visual encoders and backbone LLMs, concerning MLLM's visual grounding, object referring, and compositional reasoning abilities. In addition, we provide a summary of model training and in-context learning methods to improve MLLM's perception and understanding of visual prompts. This paper examines visual prompting methods developed in MLLMs and provides a vision of the future of these methods.","","ArXiv","","10.48550/arxiv.2409.15310","https://consensus.app/papers/visual-prompting-in-multimodal-large-language-models-a-wu-zhang/49ef26b6ccb85beda5c74a6a8f011eb0/"
"Exploring Multimodal Prompt for Visualization Authoring with Large Language Models","Multimodal prompts, such as text and visual, improve the usability of large language models for visualization authoring without affecting task efficiency.","Zhen Wen, Luoxuan Weng, Ying Tang, Runjin Zhang, Yuxin Liu, Bo Pan, Minfeng Zhu, Wei Chen",2025,6,"Recent advances in large language models (LLMs) have shown great potential in automating the process of visualization authoring through simple natural language utterances. However, instructing LLMs using natural language is limited in precision and expressiveness for conveying visualization intent, leading to misinterpretation and time-consuming iterations. To address these limitations, we conduct an empirical study to understand how LLMs interpret ambiguous or incomplete text prompts in the context of visualization authoring, and the conditions making LLMs misinterpret user intent. Informed by the findings, we introduce visual prompts as a complementary input modality to text prompts, which help clarify user intent and improve LLMs' interpretation abilities. To explore the potential of multimodal prompting in visualization authoring, we design VisPilot, which enables users to easily create visualizations using multimodal prompts, including text, sketches, and direct manipulations on existing visualizations. Through two case studies and a controlled user study, we demonstrate that VisPilot provides a more intuitive way to create visualizations without affecting the overall task efficiency compared to text-only prompting approaches. Furthermore, we analyze the impact of text and visual prompts in different visualization tasks. Our findings highlight the importance of multimodal prompting in improving the usability of LLMs for visualization authoring. We discuss design implications for future visualization systems and provide insights into how multimodal prompts can enhance human-AI collaboration in creative visualization tasks. All materials are available at https://OSF.IO/2QRAK.","","ArXiv","","10.48550/arxiv.2504.13700","https://consensus.app/papers/exploring-multimodal-prompt-for-visualization-authoring-wen-weng/fc67e10fc9a05a43bd84f7194c588ee0/"
"Exploring Grounding Abilities in Vision-Language Models Through Contextual Perception","Contextual set-of-mark (ConSoM) improves visual grounding in vision language models, enhancing their ability to handle complex scenarios in human-robot interactions.","Wei Xu, Tianfei Zhou, Taoyuan Zhang, Jie Li, Peiyin Chen, Jia Pan, Xiaofeng Liu",2025,1,"Vision language models (VLMs) have demonstrated strong general capabilities and achieved great success in areas such as image understanding and reasoning. Visual prompts enhance the focus of VLMs on designated areas, but their fine-grained grounding has not been fully developed. Recent research has used set-of-mark (SoM) approach to unleash the grounding capabilities of generative pretrained transformer-4 with vision (GPT-4V), achieving significant benchmark performance. However, SoM still has problems with label offset and hallucination of VLMs, and the grounding ability of VLMs remains limited, making it challenging to handle complex scenarios in human–robot interaction. To address these limitations and provide more accurate and less hallucinatory results, we propose contextual set-of-mark (ConSoM), a new SoM-based prompting mechanism that leverages dual-image inputs and contextual semantic information of images. Experiments demonstrate that ConSoM has distinct advantages in visual grounding, improving by 11% compared with the baseline on the dataset Refcocog. Furthermore, we evaluated ConSoM’s grounding abilities in five indoor scenarios, where it exhibited strong robustness in complex environments and under occlusion conditions. We also introduced a scalable annotation method for pixel-level question-answering dataset. The accuracy, scalability, and depth of world knowledge make ConSoM a highly effective approach for future human–robot interactions.","","IEEE Transactions on Cognitive and Developmental Systems","1","10.1109/tcds.2025.3566649","https://consensus.app/papers/exploring-grounding-abilities-in-visionlanguage-models-xu-zhou/30c7cfa115e154348aee6d6a1218b6bd/"
"Prompt Engineering: Guiding the Way to Effective Large Language Models","Prompt engineering effectively links human intention and machine execution, enhancing the capabilities of large language models in various domains.","Mohammad Aljanabi, M. Yaseen, A. Ali, Mostafa Abdulghafoor Mohammed",2023,13,"Large language models (LLMs) have become prominent tools in various domains, such as natural language processing, machine translation, and the development of creative text. Nevertheless, in order to fully exploit the capabilities of Language Models, it is imperative to establish efficient communication channels between humans and machines. The discipline of engineering involves the creation of well-constructed and informative prompts, which act as a crucial link between human intention and the execution of tasks by machines. The present study examines the concept of rapid engineering, elucidating its underlying concepts, methodologies, and diverse range of practical applications.","","Iraqi Journal for Computer Science and Mathematics","2","10.52866/ijcsm.2023.04.04.012","https://consensus.app/papers/prompt-engineering-guiding-the-way-to-effective-large-aljanabi-yaseen/34682f0d609451abbdb08387923c916f/"
"Prompting Change: Exploring Prompt Engineering in Large Language Model AI and Its Potential to Transform Education","Prompt engineering in Large Language Models AI can transform education by fostering personalized, engaging, and equitable experiences through content knowledge, critical thinking, and iterative design.","William Cain",2023,147,"This paper explores the transformative potential of Large Language Models Artificial Intelligence (LLM AI) in educational contexts, particularly focusing on the innovative practice of prompt engineering. Prompt engineering, characterized by three essential components of content knowledge, critical thinking, and iterative design, emerges as a key mechanism to access the transformative capabilities of LLM AI in the learning process. This paper charts the evolving trajectory of LLM AI as a tool poised to reshape educational practices and assumptions. In particular, this paper breaks down the potential of prompt engineering practices to enhance learning by fostering personalized, engaging, and equitable educational experiences. The paper underscores how the natural language capabilities of LLM AI tools can help students and educators transition from passive recipients to active co-creators of their learning experiences. Critical thinking skills, particularly information literacy, media literacy, and digital citizenship, are identified as crucial for using LLM AI tools effectively and responsibly. Looking forward, the paper advocates for continued research to validate the benefits of prompt engineering practices across diverse learning contexts while simultaneously promoting potential defects, biases, and ethical concerns related to LLM AI use in education. It calls upon practitioners to explore and train educational stakeholders in best practices around prompt engineering for LLM AI, fostering progress towards a more engaging and equitable educational future.","","TechTrends","1","10.1007/s11528-023-00896-0","https://consensus.app/papers/prompting-change-exploring-prompt-engineering-in-large-cain/5d8275d9d21655e19d492cc57f6dbab8/"
"Unleash the Power of Vision-Language Models by Visual Attention Prompt and Multimodal Interaction","Uni-prompt improves vision-language models' knowledge transfer and task-specific learning by designing visual prompts from an attention perspective and utilizing multimodal interactions.","Wenyao Zhang, Letian Wu, Zequn Zhang, Tao Yu, Chao Ma, Xin Jin, Xiaokang Yang, Wenjun Zeng",2025,8,"Pre-trained vision-language models (VLMs), equipped with parameter-efficient tuning (PET) methods like prompting, have shown impressive knowledge transferability on new downstream tasks, but they are still prone to be limited by catastrophic forgetting and overfitting dilemma due to large gaps among tasks. Furthermore, the underlying physical mechanisms of prompt-based tuning methods (especially for visual prompting) remain largely unexplored. It is unclear why these methods work solely based on learnable parameters as prompts for adaptation. To address the above challenges, we present a new prompt-based framework for vision-language models, termed Uni-prompt. Our framework transfers VLMs to downstream tasks by designing visual prompts from an attention perspective that reduces the transfer/solution space, which enables the vision model to focus on task-relevant regions of the input image while also learning task-specific knowledge. Additionally, Uni-prompt further aligns visual-text prompts learning through a pretext task with masked representation modeling interactions, which implicitly learns a global cross-modal matching between visual and language concepts for consistency. We conduct extensive experiments on the few-shot classification task and achieve significant improvement using our Uni-prompt method while requiring minimal extra parameters cost.","","IEEE Transactions on Multimedia","1","10.1109/tmm.2024.3521785","https://consensus.app/papers/unleash-the-power-of-visionlanguage-models-by-visual-zhang-wu/7e3b1e38ec145f63a0619cdd6e5ef475/"
"Strategic Application of Prompt Engineering in Multi-Modal Large Language Models","Prompt engineering techniques can optimize multimodal Large Language Models (MLLMs) for tasks like image captioning, object recognition, and scene understanding, enhancing their applicability across various domains.","Minjun Son, Woomin Jun, Sungjin Lee",2025,0,"Multimodal Large Language Models (MLLM), which integrate large language models (LLMs) with vision models, aim to overcome the text-centric limitations of traditional LLMs. While models like GPT-4 and PaLM-E excel at processing text data, they face limitations in complex fields such as medical image analysis and cross-modality reasoning. MLLMs enhance understanding and reasoning by combining textual and non-linguistic data, such as images, expanding their applicability across various domains. This study proposes optimization strategies for effectively handling multimodal inputs through prompt engineering techniques. We evaluate three MLLMs–Llama-3.2, Phi-3.5, and Qwen2–VL-using datasets such as Flickr30k, NoCaps, and MSCOCO, and analyze their performance on tasks including image captioning, object recognition, and scene understanding. Furthermore, a comparison of the impact of Chain-of-Thought (CoT) and In-Context Learning (ICL) techniques on model performance shows that CoT is more effective for tasks requiring logical reasoning, while ICL enhances adaptability across diverse scenarios.","","2025 IEEE International Conference on Consumer Electronics (ICCE)","","10.1109/icce63647.2025.10930109","https://consensus.app/papers/strategic-application-of-prompt-engineering-in-son-jun/3abbc05085a5536c8af0bded55c32f52/"
