img_id,query_type,prompt,output,target_token,token_index,num_target_hotspots,num_distractors,kmeans_threshold,tbr,is_correct_id,failure_reason
511321,Positive,"Is there a boat?  If you are confident that the object is present, answer with 'Yes.There is a boat in the image.' If you are confident that the object is not present, answer with 'No. There is no boat in the image.'.",Yes.There is a boat in the image.,boat,4,2,1,0.5372999906539917,0.0,0,FP_Scattered
314294,Positive,"Is there a elephant?  If you are confident that the object is present, answer with 'Yes.There is a elephant in the image.' If you are confident that the object is not present, answer with 'No. There is no elephant in the image.'.",Yes.There is a elephant in the image.,elephant,4,1,4,0.5724999904632568,0.0,0,FP_Scattered
475779,Positive,"Is there a elephant?  If you are confident that the object is present, answer with 'Yes.There is a elephant in the image.' If you are confident that the object is not present, answer with 'No. There is no elephant in the image.'.",Yes.There is a elephant in the image.,elephant,4,4,2,0.5608000159263611,0.0,0,FP_Scattered
572517,Negative,"Is there a pizza?  If you are confident that the object is present, answer with 'Yes.There is a pizza in the image.' If you are confident that the object is not present, answer with 'No. There is no pizza in the image.'.",No. There is no pizza in the image.,NONE,-1,0,0,0.0,0.0,1,None
270244,Negative,"Is there a stop sign?  If you are confident that the object is present, answer with 'Yes.There is a stop sign in the image.' If you are confident that the object is not present, answer with 'No. There is no stop sign in the image.'.",No. There is no stop sign in the image.,NONE,-1,0,0,0.0,0.0,1,None
125211,Positive,"Is there a zebra?  If you are confident that the object is present, answer with 'Yes.There is a zebra in the image.' If you are confident that the object is not present, answer with 'No. There is no zebra in the image.'.",Yes. There is a zebra in the image.,Yes,0,3,3,0.63919997215271,0.0,0,FP_Scattered
562121,Positive,"Is there a zebra?  If you are confident that the object is present, answer with 'Yes.There is a zebra in the image.' If you are confident that the object is not present, answer with 'No. There is no zebra in the image.'.",Yes.There is a zebra in the image.,Yes,0,1,3,0.5293999910354614,0.0,0,FP_Scattered
382088,Negative,"Is there a keyboard?  If you are confident that the object is present, answer with 'Yes.There is a keyboard in the image.' If you are confident that the object is not present, answer with 'No. There is no keyboard in the image.'.",No. There is no keyboard in the image.,NONE,-1,0,0,0.0,0.0,1,None
266409,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes. There is a person in the image.,person,5,2,2,0.43529999256134033,0.0,0,FP_Scattered
430961,Negative,"Is there a couch?  If you are confident that the object is present, answer with 'Yes.There is a couch in the image.' If you are confident that the object is not present, answer with 'No. There is no couch in the image.'.",No. There is no couch in the image.,NONE,-1,0,0,0.0,0.0,1,None
80671,Negative,"Is there a cat?  If you are confident that the object is present, answer with 'Yes.There is a cat in the image.' If you are confident that the object is not present, answer with 'No. There is no cat in the image.'.",No. There is no cat in the image.,NONE,-1,0,0,0.0,0.0,1,None
476258,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,2,6,0.49799999594688416,0.0,0,FP_Scattered
448365,Negative,"Is there a refrigerator?  If you are confident that the object is present, answer with 'Yes.There is a refrigerator in the image.' If you are confident that the object is not present, answer with 'No. There is no refrigerator in the image.'.",No. There is no refrigerator in the image.,NONE,-1,0,0,0.0,0.0,1,None
35197,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,2,4,0.486299991607666,0.0,0,FP_Scattered
180135,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,4,2,0.5685999989509583,0.0,0,FP_Scattered
180560,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,4,0.5216000080108643,0.0,0,FP_Scattered
347693,Positive,"Is there a bed?  If you are confident that the object is present, answer with 'Yes.There is a bed in the image.' If you are confident that the object is not present, answer with 'No. There is no bed in the image.'.",Yes.There is a bed in the image.,bed,4,1,3,0.6274999976158142,0.0,0,FP_Scattered
39956,Positive,"Is there a bed?  If you are confident that the object is present, answer with 'Yes.There is a bed in the image.' If you are confident that the object is not present, answer with 'No. There is no bed in the image.'.",Yes.There is a bed in the image.,bed,4,2,0,0.5529000163078308,2.134700059890747,1,None
66523,Positive,"Is there a bed?  If you are confident that the object is present, answer with 'Yes.There is a bed in the image.' If you are confident that the object is not present, answer with 'No. There is no bed in the image.'.",Yes.There is a bed in the image.,bed,4,2,0,0.5685999989509583,0.0,0,FP_Mispointed
355257,Negative,"Is there a pizza?  If you are confident that the object is present, answer with 'Yes.There is a pizza in the image.' If you are confident that the object is not present, answer with 'No. There is no pizza in the image.'.",No. There is no pizza in the image.,NONE,-1,0,0,0.0,0.0,1,None
142092,Positive,"Is there a pizza?  If you are confident that the object is present, answer with 'Yes.There is a pizza in the image.' If you are confident that the object is not present, answer with 'No. There is no pizza in the image.'.",Yes.There is a pizza in the image.,pizza,4,2,1,0.6549000144004822,0.0,0,FP_Scattered
199551,Positive,"Is there a bed?  If you are confident that the object is present, answer with 'Yes.There is a bed in the image.' If you are confident that the object is not present, answer with 'No. There is no bed in the image.'.",Yes.There is a bed in the image.,bed,4,5,1,0.6744999885559082,0.0,0,FP_Scattered
551215,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,1,4,0.3059000074863434,0.0,0,FP_Scattered
544519,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,8,0,0.5411999821662903,1.9112000465393066,1,None
96493,Positive,"Is there a couch?  If you are confident that the object is present, answer with 'Yes.There is a couch in the image.' If you are confident that the object is not present, answer with 'No. There is no couch in the image.'.",Yes.There is a couch in the image.,couch,4,6,1,0.53329998254776,0.0,0,FP_Scattered
399462,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,3,0.5372999906539917,0.0,0,FP_Scattered
342006,Positive,"Is there a boat?  If you are confident that the object is present, answer with 'Yes.There is a boat in the image.' If you are confident that the object is not present, answer with 'No. There is no boat in the image.'.",Yes.There is a boat in the image.,boat,4,1,2,0.5569000244140625,0.0,0,FP_Scattered
236412,Positive,"Is there a pizza?  If you are confident that the object is present, answer with 'Yes.There is a pizza in the image.' If you are confident that the object is not present, answer with 'No. There is no pizza in the image.'.",Yes.There is a pizza in the image.,pizza,4,1,5,0.6078000068664551,0.0,0,FP_Scattered
153343,Negative,"Is there a kite?  If you are confident that the object is present, answer with 'Yes.There is a kite in the image.' If you are confident that the object is not present, answer with 'No. There is no kite in the image.'.",No. There is no kite in the image.,NONE,-1,0,0,0.0,0.0,1,None
231339,Positive,"Is there a refrigerator?  If you are confident that the object is present, answer with 'Yes.There is a refrigerator in the image.' If you are confident that the object is not present, answer with 'No. There is no refrigerator in the image.'.",Yes.There is a refrigerator in the image.,refrigerator,4,4,3,0.36469998955726624,0.0,0,FP_Scattered
550426,Positive,"Is there a vase?  If you are confident that the object is present, answer with 'Yes.There is a vase in the image.' If you are confident that the object is not present, answer with 'No. There is no vase in the image.'.",Yes.There is a vase in the image.,vase,4,1,3,0.5254999995231628,0.0,0,FP_Scattered
368294,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,4,0.5098000168800354,0.0,0,FP_Scattered
263796,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,1,1,0.5411999821662903,0.0,0,FP_Scattered
487583,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,2,3,0.5450999736785889,0.0,0,FP_Scattered
504711,Positive,"Is there a fork?  If you are confident that the object is present, answer with 'Yes.There is a fork in the image.' If you are confident that the object is not present, answer with 'No. There is no fork in the image.'.",Yes.There is a fork in the image.,fork,4,1,0,0.5372999906539917,2.3698999881744385,1,None
379453,Positive,"Is there a airplane?  If you are confident that the object is present, answer with 'Yes.There is a airplane in the image.' If you are confident that the object is not present, answer with 'No. There is no airplane in the image.'.",Yes. There is a airplane in the image.,airplane,5,1,7,0.5450999736785889,0.0,0,FP_Scattered
29393,Positive,"Is there a dog?  If you are confident that the object is present, answer with 'Yes.There is a dog in the image.' If you are confident that the object is not present, answer with 'No. There is no dog in the image.'.",Yes. There is a dog in the image.,dog,5,2,3,0.6352999806404114,0.0,0,FP_Scattered
48153,Negative,"Is there a keyboard?  If you are confident that the object is present, answer with 'Yes.There is a keyboard in the image.' If you are confident that the object is not present, answer with 'No. There is no keyboard in the image.'.",No. There is no keyboard in the image.,NONE,-1,0,0,0.0,0.0,1,None
223130,Positive,"Is there a giraffe?  If you are confident that the object is present, answer with 'Yes.There is a giraffe in the image.' If you are confident that the object is not present, answer with 'No. There is no giraffe in the image.'.",Yes.There is a giraffe in the image.,Yes,0,3,5,0.5608000159263611,0.0,0,FP_Scattered
344059,Positive,"Is there a giraffe?  If you are confident that the object is present, answer with 'Yes.There is a giraffe in the image.' If you are confident that the object is not present, answer with 'No. There is no giraffe in the image.'.",Yes.There is a giraffe in the image.,Yes,0,0,5,0.5803999900817871,0.0,0,FP_Scattered
87875,Negative,"Is there a airplane?  If you are confident that the object is present, answer with 'Yes.There is a airplane in the image.' If you are confident that the object is not present, answer with 'No. There is no airplane in the image.'.",No. There is no airplane in the image.,NONE,-1,0,0,0.0,0.0,1,None
460160,Positive,"Is there a bird?  If you are confident that the object is present, answer with 'Yes.There is a bird in the image.' If you are confident that the object is not present, answer with 'No. There is no bird in the image.'.",Yes. There is a bird in the image.,bird,5,1,2,0.5608000159263611,0.0,0,FP_Scattered
30675,Positive,"Is there a train?  If you are confident that the object is present, answer with 'Yes.There is a train in the image.' If you are confident that the object is not present, answer with 'No. There is no train in the image.'.",Yes.There is a train in the image.,train,4,3,7,0.5960999727249146,0.0,0,FP_Scattered
338428,Positive,"Is there a bus?  If you are confident that the object is present, answer with 'Yes.There is a bus in the image.' If you are confident that the object is not present, answer with 'No. There is no bus in the image.'.",Yes. There is a bus in the image.,bus,5,1,4,0.4471000134944916,0.0,0,FP_Scattered
545826,Positive,"Is there a cat?  If you are confident that the object is present, answer with 'Yes.There is a cat in the image.' If you are confident that the object is not present, answer with 'No. There is no cat in the image.'.",Yes.There is a cat in the image.,cat,4,1,0,0.45879998803138733,2.1142001152038574,1,None
269314,Negative,"Is there a bench?  If you are confident that the object is present, answer with 'Yes.There is a bench in the image.' If you are confident that the object is not present, answer with 'No. There is no bench in the image.'.",No. There is no bench in the image.,NONE,-1,0,0,0.0,0.0,1,None
476415,Negative,"Is there a skis?  If you are confident that the object is present, answer with 'Yes.There is a skis in the image.' If you are confident that the object is not present, answer with 'No. There is no skis in the image.'.",No. There is no skis in the image.,NONE,-1,0,0,0.0,0.0,1,None
84477,Positive,"Is there a umbrella?  If you are confident that the object is present, answer with 'Yes.There is a umbrella in the image.' If you are confident that the object is not present, answer with 'No. There is no umbrella in the image.'.",Yes.There is a umbrella in the image.,umbrella,4,1,1,0.6313999891281128,0.0,0,FP_Scattered
562243,Positive,"Is there a tie?  If you are confident that the object is present, answer with 'Yes.There is a tie in the image.' If you are confident that the object is not present, answer with 'No. There is no tie in the image.'.",Yes.There is a tie in the image.,tie,4,1,2,0.5960999727249146,0.0,0,FP_Scattered
181859,Positive,"Is there a cat?  If you are confident that the object is present, answer with 'Yes.There is a cat in the image.' If you are confident that the object is not present, answer with 'No. There is no cat in the image.'.",Yes.There is a cat in the image.,cat,4,1,2,0.5490000247955322,0.0,0,FP_Scattered
288042,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes. There is a person in the image.,person,5,1,6,0.40779998898506165,0.0,0,FP_Scattered
453860,Positive,"Is there a suitcase?  If you are confident that the object is present, answer with 'Yes.There is a suitcase in the image.' If you are confident that the object is not present, answer with 'No. There is no suitcase in the image.'.",Yes.There is a suitcase in the image.,suitcase,4,2,3,0.6313999891281128,0.0,0,FP_Scattered
375015,Positive,"Is there a bear?  If you are confident that the object is present, answer with 'Yes.There is a bear in the image.' If you are confident that the object is not present, answer with 'No. There is no bear in the image.'.",Yes. There is a bear in the image.,bear,5,3,0,0.5490000247955322,2.8359999656677246,1,None
283520,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,2,4,0.5175999999046326,0.0,0,FP_Scattered
319721,Positive,"Is there a horse?  If you are confident that the object is present, answer with 'Yes.There is a horse in the image.' If you are confident that the object is not present, answer with 'No. There is no horse in the image.'.",Yes.There is a horse in the image.,horse,4,3,1,0.48240000009536743,0.0,0,FP_Scattered
118921,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,1,2,0.4627000093460083,0.0,0,FP_Scattered
785,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,3,0.5059000253677368,0.0,0,FP_Scattered
300842,Positive,"Is there a skateboard?  If you are confident that the object is present, answer with 'Yes.There is a skateboard in the image.' If you are confident that the object is not present, answer with 'No. There is no skateboard in the image.'.",Yes.There is a skateboard in the image.,skateboard,4,2,7,0.5685999989509583,0.0,0,FP_Scattered
99242,Negative,"Is there a laptop?  If you are confident that the object is present, answer with 'Yes.There is a laptop in the image.' If you are confident that the object is not present, answer with 'No. There is no laptop in the image.'.",No. There is no laptop in the image.,NONE,-1,0,0,0.0,0.0,1,None
314709,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,1,4,0.42750000953674316,0.0,0,FP_Scattered
409475,Negative,"Is there a dining table?  If you are confident that the object is present, answer with 'Yes.There is a dining table in the image.' If you are confident that the object is not present, answer with 'No. There is no dining table in the image.'.",No. There is no dining table in the image.,NONE,-1,0,0,0.0,0.0,1,None
464786,Negative,"Is there a apple?  If you are confident that the object is present, answer with 'Yes.There is a apple in the image.' If you are confident that the object is not present, answer with 'No. There is no apple in the image.'.",No. There is no apple in the image.,NONE,-1,0,0,0.0,0.0,1,None
372577,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,0,6,0.4000000059604645,0.0,0,FP_Scattered
212166,Negative,"Is there a frisbee?  If you are confident that the object is present, answer with 'Yes.There is a frisbee in the image.' If you are confident that the object is not present, answer with 'No. There is no frisbee in the image.'.",No. There is no frisbee in the image.,NONE,-1,0,0,0.0,0.0,1,None
84431,Negative,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes. There is a person in the image.,person,5,0,5,0.5019999742507935,0.0,0,FP_Hallucination
100582,Negative,"Is there a spoon?  If you are confident that the object is present, answer with 'Yes.There is a spoon in the image.' If you are confident that the object is not present, answer with 'No. There is no spoon in the image.'.",No. There is no spoon in the image.,NONE,-1,0,0,0.0,0.0,1,None
555412,Positive,"Is there a pizza?  If you are confident that the object is present, answer with 'Yes.There is a pizza in the image.' If you are confident that the object is not present, answer with 'No. There is no pizza in the image.'.",Yes.There is a pizza in the image.,pizza,4,6,0,0.666700005531311,1.5319000482559204,1,None
4495,Negative,"Is there a cell phone?  If you are confident that the object is present, answer with 'Yes.There is a cell phone in the image.' If you are confident that the object is not present, answer with 'No. There is no cell phone in the image.'.",No. There is no cell phone in the image.,NONE,-1,0,0,0.0,0.0,1,None
31050,Positive,"Is there a vase?  If you are confident that the object is present, answer with 'Yes.There is a vase in the image.' If you are confident that the object is not present, answer with 'No. There is no vase in the image.'.",Yes.There is a vase in the image.,vase,4,2,2,0.5490000247955322,0.0,0,FP_Scattered
239537,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,4,8,0.45879998803138733,0.0,0,FP_Scattered
340930,Negative,"Is there a oven?  If you are confident that the object is present, answer with 'Yes.There is a oven in the image.' If you are confident that the object is not present, answer with 'No. There is no oven in the image.'.",No. There is no oven in the image.,NONE,-1,0,0,0.0,0.0,1,None
11813,Positive,"Is there a laptop?  If you are confident that the object is present, answer with 'Yes.There is a laptop in the image.' If you are confident that the object is not present, answer with 'No. There is no laptop in the image.'.",Yes.There is a laptop in the image.,laptop,4,1,1,0.5608000159263611,0.0,0,FP_Scattered
281414,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,2,3,0.4156999886035919,0.0,0,FP_Scattered
284282,Positive,"Is there a dining table?  If you are confident that the object is present, answer with 'Yes.There is a dining table in the image.' If you are confident that the object is not present, answer with 'No. There is no dining table in the image.'.",Yes.There is a dining table in the image.,Yes,0,2,2,0.5216000080108643,0.0,0,FP_Scattered
521282,Negative,"Is there a baseball glove?  If you are confident that the object is present, answer with 'Yes.There is a baseball glove in the image.' If you are confident that the object is not present, answer with 'No. There is no baseball glove in the image.'.",No. There is no baseball glove in the image.,NONE,-1,0,0,0.0,0.0,1,None
108026,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,4,0.45100000500679016,0.0,0,FP_Scattered
397327,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,1,0,0.5490000247955322,2.053499937057495,1,None
376442,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,6,1,0.6470999717712402,0.0,0,FP_Scattered
187243,Positive,"Is there a person?  If you are confident that the object is present, answer with 'Yes.There is a person in the image.' If you are confident that the object is not present, answer with 'No. There is no person in the image.'.",Yes.There is a person in the image.,person,4,3,3,0.49410000443458557,0.0,0,FP_Scattered
293044,Positive,"Is there a dining table?  If you are confident that the object is present, answer with 'Yes.There is a dining table in the image.' If you are confident that the object is not present, answer with 'No. There is no dining table in the image.'.",Yes.There is a dining table in the image.,Yes,0,2,0,0.5842999815940857,0.0,0,FP_Mispointed
560279,Positive,"Is there a toilet?  If you are confident that the object is present, answer with 'Yes.There is a toilet in the image.' If you are confident that the object is not present, answer with 'No. There is no toilet in the image.'.",Yes.There is a toilet in the image.,toilet,4,4,2,0.5881999731063843,0.0,0,FP_Scattered
42276,Negative,"Is there a elephant?  If you are confident that the object is present, answer with 'Yes.There is a elephant in the image.' If you are confident that the object is not present, answer with 'No. There is no elephant in the image.'.",No. There is no elephant in the image.,NONE,-1,0,0,0.0,0.0,1,None
190756,Positive,"Is there a motorcycle?  If you are confident that the object is present, answer with 'Yes.There is a motorcycle in the image.' If you are confident that the object is not present, answer with 'No. There is no motorcycle in the image.'.",Yes.There is a motorcycle in the image.,motorcycle,4,5,2,0.6274999976158142,0.0,0,FP_Scattered
199977,Positive,"Is there a airplane?  If you are confident that the object is present, answer with 'Yes.There is a airplane in the image.' If you are confident that the object is not present, answer with 'No. There is no airplane in the image.'.",Yes. There is a airplane in the image.,airplane,5,1,2,0.5881999731063843,0.0,0,FP_Scattered
442480,Positive,"Is there a airplane?  If you are confident that the object is present, answer with 'Yes.There is a airplane in the image.' If you are confident that the object is not present, answer with 'No. There is no airplane in the image.'.",Yes.There is a airplane in the image.,airplane,4,1,3,0.6039000153541565,0.0,0,FP_Scattered
384350,Positive,"Is there a airplane?  If you are confident that the object is present, answer with 'Yes.There is a airplane in the image.' If you are confident that the object is not present, answer with 'No. There is no airplane in the image.'.",Yes.There is a airplane in the image.,airplane,4,3,2,0.5842999815940857,0.0,0,FP_Scattered
